Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
6/20/2016,96,96.57,95.03,95.1,34411901,0,1,93.81960844,94.37666236,92.87163948,92.94004961,34411901
6/21/2016,94.94,96.35,94.676,95.91,35546358,0,1,92.7836836,94.1616591,92.52567967,93.73165256,35546358
6/22/2016,96.25,96.89,95.35,95.55,29219122,0,1,94.06393034,94.68939439,93.18437151,93.37982903,29219122
6/23/2016,95.94,96.29,95.25,96.1,32240187,0,1,93.76097118,94.10302184,93.08664275,93.9173372,32240187
6/24/2016,92.91,94.655,92.65,93.4,75311356,0,1,90.79978979,92.50515663,90.54569502,91.27866071,75311356
6/27/2016,93,93.05,91.5,92.04,46622188,0,1,90.88774568,90.93661006,89.42181429,89.94954959,46622188
6/28/2016,92.9,93.66,92.14,93.59,40444914,0,1,90.79001692,91.53275548,90.04727835,91.46434535,40444914
6/29/2016,93.97,94.55,93.63,94.4,36531006,0,1,91.83571464,92.40254144,91.50343686,92.2559483,36531006
6/30/2016,94.44,95.77,94.3,95.6,35836356,0,1,92.2950398,93.59483229,92.15821954,93.4286934,35836356
7/1/2016,95.49,96.465,95.33,95.89,26026540,0,1,93.32119177,94.27404717,93.16482576,93.7121068,26026540
7/5/2016,95.39,95.4,94.46,94.99,27705210,0,1,93.22346301,93.23323589,92.31458555,92.83254798,27705210
7/6/2016,94.6,95.66,94.37,95.53,30949090,0,1,92.45140582,93.48733066,92.22662967,93.36028327,30949090
7/7/2016,95.7,96.5,95.62,95.94,25139558,0,1,93.52642216,94.30825223,93.44823916,93.76097118,25139558
7/8/2016,96.49,96.89,96.05,96.68,28912103,0,1,94.29847936,94.68939439,93.86847282,94.484164,28912103
7/11/2016,96.75,97.65,96.73,96.98,23794945,0,1,94.55257413,95.43213296,94.53302838,94.77735028,23794945
7/12/2016,97.17,97.7,97.12,97.42,24167463,0,1,94.96303492,95.48099734,94.91417054,95.20735681,24167463
7/13/2016,97.41,97.67,96.84,96.87,25892171,0,1,95.19758394,95.45167871,94.64053001,94.66984864,25892171
7/14/2016,97.39,98.99,97.32,98.79,38918997,0,1,95.17803819,96.74169833,95.10962806,96.54624081,38918997
7/15/2016,98.92,99.3,98.5,98.78,30136990,0,1,96.6732882,97.04465748,96.26282741,96.53646793,30136990
